Country Name,Month,Year,Growth rate of vaccine,Difference of growth rate to global average
New Caledonia,11,2021,0.1993601762897957,-3.647811774745404
New Caledonia,12,2021,0.3821807624577602,-3.4649911885774394
New Caledonia,01,2022,0.7151615787456891,-3.1320103722895105
New Caledonia,02,2022,0.7538461538461538,-3.093325797189046
New Caledonia,03,2022,2.9013589503280226,-0.9458130007071772
New Caledonia,04,2022,6.550598388015957,2.7034264369807572
New Caledonia,05,2022,0.01963536103728359,-3.827536589997916
New Caledonia,06,2022,0.5879265091863517,-3.259245441848848
New Caledonia,07,2022,1.9028077753779697,-1.94436417565723
New Caledonia,08,2022,1.9458874458874458,-1.901284505147754
New Caledonia,09,2022,0.5566091954022988,-3.290562755632901
New Caledonia,10,2022,0.14586543400102722,-3.7013065170341726
New Caledonia,11,2022,0.8686131386861314,-2.9785588123490685
New Caledonia,12,2022,19.41532258064516,15.56815062960996
New Caledonia,01,2023,0.8204404291360813,-3.0267315218991184
New Caledonia,02,2023,0.2418543046357616,-3.6053176463994383
New Caledonia,03,2023,0.5089463220675944,-3.3382256289676056
New Caledonia,04,2023,0.593939393939394,-3.2532325570958056
New Caledonia,05,2023,0.5492801771871539,-3.297891773848046
New Zealand,03,2021,6.544806115439145,2.697634164403945
New Zealand,04,2021,3.3636926663995044,-0.48347928463569545
New Zealand,05,2021,1.917994014615955,-1.9291779364192447
New Zealand,06,2021,1.4043832192273236,-2.4427887318078763
New Zealand,07,2021,1.300091256487766,-2.547080694547434
New Zealand,08,2021,2.1058815654361007,-1.741290385599099
New Zealand,09,2021,1.2596569201861008,-2.587515030849099
New Zealand,10,2021,0.8948293749115963,-2.9523425761236037
New Zealand,11,2021,0.4467789810284462,-3.4003929700067537
New Zealand,12,2021,0.8585982275525366,-2.9885737234826633
New Zealand,01,2022,1.9182628083612168,-1.928909142673983
New Zealand,02,2022,1.1125993645829684,-2.7345725864522317
